Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Team Id,Team Name,Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Verify the comment section,KAN-14,10086,Bug,In Progress,KAN,Dainik Coxsbazar News Portal,software,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,Your first project,Medium,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,07/Feb/26 4:09 PM,07/Feb/26 5:19 PM,07/Feb/26 5:23 PM,,,0,"|Can type, submit works|",,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,,,,,,,,,07/Feb/26 4:09 PM;70252690-53be-442d-88da-c57da0d3d1a0;Verify the Comment Section.png;https://rezwanulrimel.atlassian.net/rest/api/3/attachment/content/10075,,,,0|i0004v:,,,,,,,,In Progress,07/Feb/26 5:19 PM
"Verify the Author name & date visible, correct formaterify",KAN-13,10085,Bug,In Progress,KAN,Dainik Coxsbazar News Portal,software,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,Your first project,Medium,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,07/Feb/26 4:06 PM,07/Feb/26 5:19 PM,07/Feb/26 4:06 PM,,,0,"|Author name & date visible, correct format|",,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,,,,,,,,,"07/Feb/26 4:06 PM;70252690-53be-442d-88da-c57da0d3d1a0;Author name & date visible, correct format.png;https://rezwanulrimel.atlassian.net/rest/api/3/attachment/content/10074",,,,0|i0004n:,,,,,,,,In Progress,07/Feb/26 5:19 PM
Verify the social media icon,KAN-12,10084,Bug,Idea,KAN,Dainik Coxsbazar News Portal,software,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,Your first project,Medium,,,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,07/Feb/26 3:52 PM,07/Feb/26 3:52 PM,,,,0,,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,,,,,,,,,,,,,0|i0004f:,,,,,,,,To Do,07/Feb/26 3:52 PM
Verify the social media share icon,KAN-11,10083,Feature,In Progress,KAN,Dainik Coxsbazar News Portal,software,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,Your first project,High,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,07/Feb/26 3:50 PM,07/Feb/26 5:19 PM,07/Feb/26 3:51 PM,,,0,|should show a social media share icon top or button on a news|,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,,,,,,,,,07/Feb/26 3:50 PM;70252690-53be-442d-88da-c57da0d3d1a0;Share icon on news area.png;https://rezwanulrimel.atlassian.net/rest/api/3/attachment/content/10073,,,,0|i00047:,,,,,,,,In Progress,07/Feb/26 5:19 PM
Verify proper message is shown when no Banglish match exists.,KAN-10,10082,Bug,In Progress,KAN,Dainik Coxsbazar News Portal,software,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,Your first project,Medium,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,07/Feb/26 3:20 PM,07/Feb/26 5:19 PM,07/Feb/26 3:51 PM,,,0,"* “No results found” message displayed
* Page does not break or show blank UI",,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,,,,,,,,,07/Feb/26 3:20 PM;70252690-53be-442d-88da-c57da0d3d1a0;No matching Banglish keyword.png;https://rezwanulrimel.atlassian.net/rest/api/3/attachment/content/10072,,,,0|i0003z:,,,,,,,,In Progress,07/Feb/26 5:19 PM
Verify search works Case sensitivity in Banglish search,KAN-9,10081,Bug,In Progress,KAN,Dainik Coxsbazar News Portal,software,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,Your first project,Medium,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,07/Feb/26 3:16 PM,07/Feb/26 5:19 PM,07/Feb/26 5:12 PM,,,0,Same results for all variations,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,,,,,,,,,07/Feb/26 3:16 PM;70252690-53be-442d-88da-c57da0d3d1a0;Case sensitivity in Banglish search.png;https://rezwanulrimel.atlassian.net/rest/api/3/attachment/content/10071,,,,0|i0003r:,,,,,,,,In Progress,07/Feb/26 5:19 PM
Verify search works with mixed language input.,KAN-8,10080,Bug,In Progress,KAN,Dainik Coxsbazar News Portal,software,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,Your first project,Medium,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,07/Feb/26 3:10 PM,07/Feb/26 5:19 PM,07/Feb/26 5:12 PM,,,0,"* Search results include relevant articles
* No error or crash",,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,,,,,,,,,07/Feb/26 3:13 PM;70252690-53be-442d-88da-c57da0d3d1a0;mixed language input. (d3660bbb-f386-4086-b885-335d5cf47de0).png;https://rezwanulrimel.atlassian.net/rest/api/3/attachment/content/10070,07/Feb/26 3:11 PM;70252690-53be-442d-88da-c57da0d3d1a0;mixed language input..png;https://rezwanulrimel.atlassian.net/rest/api/3/attachment/content/10069,,,0|i0003j:,,,,,,,,In Progress,07/Feb/26 5:19 PM
Partial Banglish keyword search,KAN-7,10079,Bug,In Progress,KAN,Dainik Coxsbazar News Portal,software,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,Your first project,Medium,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,07/Feb/26 3:00 PM,07/Feb/26 3:13 PM,07/Feb/26 5:12 PM,,,0,"Matching or closely related news appears

System handles incomplete words gracefully",,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,,,,,,,,,07/Feb/26 3:04 PM;70252690-53be-442d-88da-c57da0d3d1a0;Partial Banglish keyword search.png;https://rezwanulrimel.atlassian.net/rest/api/3/attachment/content/10067,,,,0|i0003b:,,,,,,,,In Progress,07/Feb/26 3:05 PM
Verify the Bangla news keywords are entered in Banglish letters.,KAN-6,10046,Bug,In Progress,KAN,Dainik Coxsbazar News Portal,software,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,Your first project,Low,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,07/Feb/26 1:26 PM,07/Feb/26 3:08 PM,07/Feb/26 3:08 PM,,,0,,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,,,,,,,,,07/Feb/26 3:04 PM;70252690-53be-442d-88da-c57da0d3d1a0;Bangla news keywords are entered in English letters..png;https://rezwanulrimel.atlassian.net/rest/api/3/attachment/content/10068,,,,0|i00033:,,f2ac15a8-1afb-434b-92ae-a2fdd3af687e,CBB,,,,,In Progress,07/Feb/26 3:00 PM
Bangla news keywords are entered in English letters.,KAN-5,10045,Subtask,In Progress,KAN,Dainik Coxsbazar News Portal,software,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,Your first project,Medium,,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,07/Feb/26 1:14 PM,07/Feb/26 1:22 PM,07/Feb/26 5:11 PM,,,0,"* Related Bangla news articles are displayed
* Search results are relevant to the keyword
* No irrelevant or blank results",,MD. Rezwanul islam Rimel,712020:cf76d118-d673-4dd4-9bb0-f6f08055a31c,,,,,,,,,07/Feb/26 1:15 PM;70252690-53be-442d-88da-c57da0d3d1a0;Bangla news keywords are entered in English letters..png;https://rezwanulrimel.atlassian.net/rest/api/3/attachment/content/10034,,,,0|i0002v:,,f2ac15a8-1afb-434b-92ae-a2fdd3af687e,CBB,,10012,KAN-4,Verify the Search with no input,In Progress,07/Feb/26 1:14 PM
